ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
NorthernPaiute-louse-1,,NorthernPaiute,louse,potsiɑppi,potsiɑppi,p o ts i ɑ pː i,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-two-1,,NorthernPaiute,two,wɑhɑ,wɑhɑ,w ɑ h ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-water-1,,NorthernPaiute,water,pɑ̄,pɑ̄,p ɑ̄/ɑː,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-ear-1,,NorthernPaiute,ear,nɑkkɑ,nɑkkɑ,n ɑ kː ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-die-1,,NorthernPaiute,die,jɑi | jɑɁi,jɑi,j ɑ i,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-die-2,,NorthernPaiute,die,jɑi | jɑɁi,jɑɁi,j ɑ ʔ i,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-I-1,,NorthernPaiute,I,nɯ,nɯ,n ɯ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-liver-1,,NorthernPaiute,liver,nɯwɯ,nɯwɯ,n ɯ w ɯ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-eye-1,,NorthernPaiute,eye,pu­,pu,p u,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-hand-1,,NorthernPaiute,hand,mɑ­,mɑ,m ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-hear-1,,NorthernPaiute,hear,nɑkkɑ,nɑkkɑ,n ɑ kː ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-tree-1,,NorthernPaiute,tree,kunu,kunu,k u n u,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-fish-1,,NorthernPaiute,fish,pɑkkwi,pɑkkwi,p ɑ kː w i,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-name__noun_though_some_overlap_with_verb_-1,,NorthernPaiute,name__noun_though_some_overlap_with_verb_,nɑnijɑnnɑ,nɑnijɑnnɑ,n ɑ n i j ɑ nː ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-stone-1,,NorthernPaiute,stone,tɯpi,tɯpi,t ɯ p i,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-tooth-1,,NorthernPaiute,tooth,tɑmɑ,tɑmɑ,t ɑ m ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-you__sing__-1,,NorthernPaiute,you__sing__,ɯ,ɯ,ɯ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-path-1,,NorthernPaiute,path,po̱,po̱,p o̠,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-bone-1,,NorthernPaiute,bone,tsihoporo,tsihoporo,t s i h o p o r o,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-tongue-1,,NorthernPaiute,tongue,iko,iko,i k o,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-skin-1,,NorthernPaiute,skin,ppɯhɯ,ppɯhɯ,pp ɯ h ɯ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-night-1,,NorthernPaiute,night,tokɑ̄no,tokɑ̄no,t o k ɑ̄ n o,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-leaf-1,,NorthernPaiute,leaf,nɑkkɑ,nɑkkɑ,n ɑ kː ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-rain__vb__mostly_-1,,NorthernPaiute,rain__vb__mostly_,pɑumɑpɑ,pɑumɑpɑ,p ɑ u m ɑ p ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-kill__pl__obj__-1,,NorthernPaiute,kill__pl__obj__,kkoi,kkoi,kk o i,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-kill__sing__dual_obj__-1,,NorthernPaiute,kill__sing__dual_obj__,pɑtsɑ,pɑtsɑ,p ɑ ts ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-blood-1,,NorthernPaiute,blood,pɯ̄,pɯ̄,p ɯ̄,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-horn-1,,NorthernPaiute,horn,ɑ̄,ɑ̄,ɑ̄,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-person-1,,NorthernPaiute,person,nɯmɯ,nɯmɯ,n ɯ m ɯ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-knee-1,,NorthernPaiute,knee,miɑwo,miɑwo,m i ɑ w o,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-one-1,,NorthernPaiute,one,sɯmɯ,sɯmɯ,s ɯ m ɯ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-nose-1,,NorthernPaiute,nose,mopi,mopi,m o p i,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-full-1,,NorthernPaiute,full,wɯtsɯmiʔhōʔō,wɯtsɯmiʔhōʔō,w ɯ ts ɯ m i ʔh ō ʔ ō,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-come-1,,NorthernPaiute,come,kkimmɑ,kkimmɑ,kk i mː ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-star-1,,NorthernPaiute,star,pɑ̄tusupɑ,pɑ̄tusupɑ,p ɑ̄ t u s u p ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-mountain-1,,NorthernPaiute,mountain,kɑipɑ,kɑipɑ,k ɑ i p ɑ,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-fire-1,,NorthernPaiute,fire,ku­,ku,k u,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-we-1,,NorthernPaiute,we,ttɑmmi,ttɑmmi,tt ɑ mː i,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
NorthernPaiute-to_drink-1,,NorthernPaiute,to_drink,hipiu,hipiu,h i p i u,,Miller1967;Miller1988;Hill2011;Wheeler2014,,
